Datetime,Open,High,Low,Close,side,entry_price,exit_price,original_status
2022-05-26 06:33:00,3996.5,4000.75,3994.5,3998.25,short,4000.0,,
2022-05-26 07:00:00,4028.25,4032.25,4026.5,4030.25,short,,4005.0,lose
2022-05-26 10:25:00,4059.5,4060.5,4058.25,4060.25,long,4058.5,,
2022-05-26 10:30:00,4059.25,4060.75,4058.75,4059.5,long,,4060.5,win
2022-05-26 11:36:00,4060.0,4060.25,4056.75,4057.25,long,4058.5,,
2022-05-26 12:00:00,4063.0,4063.75,4061.5,4063.25,long,,4060.5,win
2022-05-26 12:40:00,4060.0,4061.75,4058.75,4060.5,short,4060.5,,
2022-05-26 13:00:00,4054.25,4056.75,4052.0,4054.5,short,,4058.5,win
2022-05-27 07:47:00,4114.0,4115.75,4113.5,4115.5,long,4113.75,,
2022-05-27 08:02:00,4110.75,4111.5,4108.25,4108.5,long,,4108.75,lose
2022-05-27 08:17:00,4122.5,4124.0,4121.5,4122.25,short,4122.75,,
2022-05-27 08:29:00,4120.25,4122.0,4120.0,4121.25,short,,4120.75,win
2022-05-27 09:21:00,4125.0,4127.0,4125.0,4126.25,long,4125.0,,
2022-05-27 09:29:00,4126.25,4127.25,4125.5,4126.75,long,,4127.0,win
2022-05-27 12:08:00,4142.5,4143.5,4142.0,4143.25,short,4143.25,,
2022-05-27 12:30:00,4146.5,4148.5,4146.25,4147.25,short,,4148.25,lose
2022-05-27 12:49:00,4142.5,4143.5,4140.0,4143.25,long,4141.25,,
2022-05-27 12:59:00,4152.25,4157.0,4151.25,4156.75,long,,4143.25,win
